id,answer,source,focus_area
0,"There are many different types and designs of artificial knees. Most consist of three components: -  the femoral component, which is the part that attaches to the thigh bone  - the tibial component, the part that attaches to the shin bone   - the patellar component, the knee cap. the femoral component, which is the part that attaches to the thigh bone the tibial component, the part that attaches to the shin bone the patellar component, the knee cap. Total and Partial Knee Replacement Knee replacement may be either total or partial/unicompartmental. In total knee replacement, as the name suggests, the entire knee joint is replaced. You will likely need a total knee replacement if you have damage to several parts of your knee. In partial/unicompartmental knee replacement, the surgeon replaces just the damaged part of the knee. You may be able to have a partial knee replacement if only one section of your knee is damaged. However, when one part is replaced, there is a chance that another part will develop arthritis, requiring further surgery. Cemented and Uncemented Joint Components Joint components may also be attached to your own bone in different ways. Most are cemented with a special joint glue into your existing bone; others rely on a process called biologic fixation to hold them in place. This means that the parts are made with a porous surface, and over time your own bone grows into the joint surface to secure them. In some cases, surgeons use a combination of cemented and uncemented parts. This is referred to as a hybrid implant. Minimally Invasive Surgery While some knee replacement surgery requires an 8- to 12-inch incision in the front of the knee, surgeons at many medical centers are now performing what is called minimally invasive surgery using incisions of 3 to 5 inches or even smaller. Because the incision is smaller, there may be less pain and a shorter recovery time. If you think you might be interested in minimally invasive surgery, speak with your surgeon.",NIHSeniorHealth,Knee Replacement
1,"- a need to urinate frequently, especially at night  - difficulty starting urination or holding back urine  - inability to urinate  - weak or interrupted flow of urine a need to urinate frequently, especially at night difficulty starting urination or holding back urine inability to urinate weak or interrupted flow of urine If prostate cancer develops and is not treated, it can cause these symptoms: - painful or burning urination  - difficulty in having an erection  - painful ejaculation  - blood in urine or semen  - pain or stiffness in the lower back, hips, or upper thighs painful or burning urination difficulty in having an erection painful ejaculation blood in urine or semen pain or stiffness in the lower back, hips, or upper thighs",NIHSeniorHealth,Prostate Cancer
2,"Who Should Be Tested? The United States Preventive Service Task Force recommends that women aged 65 and older be screened (tested) for osteoporosis, as well as women aged 60 and older who are at increased risk for an osteoporosis-related fracture. However, the decision of whether or not to have a bone density test is best made between a patient and his or her physician. Medicare will usually cover the cost of a bone density test, and a follow up test every 2 years, for female beneficiaries. It also will cover screening and follow up of any male Medicare recipients who have significant risk factors for osteoporosis. When To Talk With a Doctor Consider talking to your doctor about being evaluated for osteoporosis if - you are a man or woman over age 50 or a postmenopausal woman and you break a bone  - you are a woman age 65 or older  - you are a woman younger than 65 and at high risk for fractures   - you have lost height, developed a stooped or hunched posture, or experienced sudden back pain with no apparent cause  - you have been taking glucocorticoid medications such as prednisone, cortisone, or dexamethasone for 2 months or longer or are taking other medications known to cause bone loss   - you have a chronic illness or are taking a medication that is known to cause bone loss   - you have anorexia nervosa or a history of this eating disorder.  - you are a premenopausal woman, not pregnant, and your menstrual periods have stopped, are irregular, or never started when you reached puberty.  you are a man or woman over age 50 or a postmenopausal woman and you break a bone you are a woman age 65 or older you are a woman younger than 65 and at high risk for fractures you have lost height, developed a stooped or hunched posture, or experienced sudden back pain with no apparent cause you have been taking glucocorticoid medications such as prednisone, cortisone, or dexamethasone for 2 months or longer or are taking other medications known to cause bone loss you have a chronic illness or are taking a medication that is known to cause bone loss you have anorexia nervosa or a history of this eating disorder. you are a premenopausal woman, not pregnant, and your menstrual periods have stopped, are irregular, or never started when you reached puberty. Diagnosing Osteoporosis Diagnosing osteoporosis involves several steps, starting with a physical exam and a careful medical history, blood and urine tests, and possibly a bone mineral density assessment. When recording information about your medical history, your doctor will ask questions to find out whether you have risk factors for osteoporosis and fractures. The doctor may ask about -  any fractures you have had   -  your lifestyle (including diet, exercise habits, and whether you smoke)  - current or past health problems   - medications that could contribute to low bone mass and increased fracture risk  - your family history of osteoporosis and other diseases   - for women, your menstrual history.  any fractures you have had your lifestyle (including diet, exercise habits, and whether you smoke) current or past health problems medications that could contribute to low bone mass and increased fracture risk your family history of osteoporosis and other diseases for women, your menstrual history. The doctor will also do a physical exam that should include checking for loss of height and changes in posture and may include checking your balance and gait (the way you walk). Bone Density Tests The test used to diagnose osteoporosis is called a bone density test. This test is a measure of how strong -- or dense -- your bones are and can help your doctor predict your risk for having a fracture. Bone density tests are painless, safe, and require no preparation on your part. Bone density tests compare your bone density to the bones of an average healthy young adult. The test result, known as a T-score, tells you how strong your bones are, whether you have osteoporosis or osteopenia (low bone mass that is not low enough to be diagnosed as osteoporosis), and your risk for having a fracture. Some bone density tests measure the strength of the hip, spine, and/or wrist, which are the bones that break most often in people with osteoporosis. Other tests measure bone in the heel or hand. Although no bone density test is 100 percent accurate, it is the single most important diagnostic test to predict whether a person will have a fracture in the future. The most widely recognized bone density test is a central DXA (dual-energy x-ray absorptiometry) scan of the hip and spine. This test shows if you have normal bone density, low bone mass, or osteoporosis. It is also used to monitor bone density changes as a person ages or in response to treatment.",NIHSeniorHealth,Osteoporosis
3,"Risk Factors Diabetes and high blood pressure are the two leading causes of kidney disease. Both diabetes and high blood pressure damage the small blood vessels in your kidneys and can cause kidney disease -- without you feeling it. Other risk factors for kidney disease include: - cardiovascular (heart) disease  - family history -- if you have a mother, father, sister, or brother who has had kidney failure, then you are at increased risk. cardiovascular (heart) disease family history -- if you have a mother, father, sister, or brother who has had kidney failure, then you are at increased risk. Additionally, African Americans, Hispanics, and Native Americans are at high risk for developing kidney failure. This is in part due to high rates of diabetes and high blood pressure in these communities.  If you have ANY of these risk factors, talk to your health care provider about getting tested for kidney disease. If you have kidney disease, you may not feel any different. It is very important to get tested if you are at risk. (Watch the video to learn more about reducing your risk for kidney disease. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) Prevention If you are at risk for kidney disease, the most important steps you can take to keep your kidneys healthy are to - get your blood and urine checked for kidney disease.  - manage your diabetes, high blood pressure, and heart disease. get your blood and urine checked for kidney disease. manage your diabetes, high blood pressure, and heart disease. Manage your diabetes and high blood pressure, and keep your kidneys healthy by -  eating healthy foods: fresh fruits, fresh or frozen vegetables, whole grains, and low-fat dairy foods  - cutting back on salt   - limiting your alcohol intake   - being more physically active   - losing weight if you are overweight   - taking your medicines the way your provider tells you to   - keeping your cholesterol levels in the target range   - taking steps to quit, if you smoke  - seeing your doctor regularly.  eating healthy foods: fresh fruits, fresh or frozen vegetables, whole grains, and low-fat dairy foods cutting back on salt limiting your alcohol intake being more physically active losing weight if you are overweight taking your medicines the way your provider tells you to keeping your cholesterol levels in the target range taking steps to quit, if you smoke seeing your doctor regularly. By following these steps and keeping risk factors under control -- especially your blood pressure -- you may be able to delay or even prevent kidney failure. Talk to your health care provider to find out the steps that are right for you. Learn about preventing high blood pressure.  Learn about preventing type 2 diabetes.",NIHSeniorHealth,Kidney Disease
4,"Kidney Disease Kidney disease is often called a ""silent"" disease, because most people have no symptoms with early kidney disease. In fact, you might feel just fine until your kidneys have almost stopped working. Do NOT wait for symptoms! If you are at risk for kidney disease, talk to your health care provider about getting tested. (Watch the video to learn more about the symptoms of kidney disease. To enlarge the videos on this page, click the brackets in the lower right-hand corner of the video screen. To reduce the videos, press the Escape (Esc) button on your keyboard.) Symptoms of Kidney Failure Kidney failure means that damaged kidneys are filtering less than 15% of the amount of blood filtered by healthy kidneys. If kidney disease progresses to kidney failure, a number of symptoms may occur. Some people experience fatigue, some lose their appetite, and some have leg cramps. These problems are caused by waste products that build up in the blood, a condition known as uremia. Healthy kidneys remove waste products from the blood. When the kidneys stop working, uremia occurs. The kidneys also make hormones and balance the minerals in the blood. When the kidneys stop working, most people develop conditions that affect the blood, bones, nerves, and skin. These problems may include itching, sleep problems, restless legs, weak bones, joint problems, and depression. How Kidney Disease Is Diagnosed  Blood and urine tests are the only way to check for kidney damage or measure kidney function. It is important for you to get checked for kidney disease if you have the key risk factors, which are - diabetes  - high blood pressure   - heart disease  - a family history of kidney failure.  diabetes high blood pressure heart disease a family history of kidney failure. If you are at risk, ask about your kidneys at your next medical appointment. The sooner you know you have kidney disease, the sooner you can get treatment to help delay or prevent kidney failure. If you have diabetes, high blood pressure, heart disease, or a family history of kidney failure, you should get a blood and urine test to check your kidneys. Talk to your provider about how often you should be tested. (Watch the video to learn more about tests for kidney disease.) Blood Test The blood test checks your GFR. GFR stands for glomerular (glow-MAIR-you-lure) filtration rate. GFR is a measure of how much blood your kidneys filter each minute. This shows how well your kidneys are working. GFR is reported as a number. -  A GFR of 60 or higher is in the normal range.   - A GFR below 60 may mean you have kidney disease. However, because GFR decreases as people age, other information may be needed to determine if you actually have kidney disease.  - A GFR of 15 or lower may mean kidney failure.  A GFR of 60 or higher is in the normal range. A GFR below 60 may mean you have kidney disease. However, because GFR decreases as people age, other information may be needed to determine if you actually have kidney disease. A GFR of 15 or lower may mean kidney failure. You can't raise your GFR, but you can try to keep it from going lower. Ask your healthcare provider what you can do to keep your kidneys healthy.  Learn more about the GFR test. Urine Test The urine test looks for albumin (al-BYOO-min), a type of protein, in your urine. A healthy kidney does not let albumin pass into the urine. A damaged kidney lets some albumin pass into the urine. This test has several different names. You could be told that you are being screened for ""proteinuria"" or ""albuminuria"" or ""microalbuminuria."" Or you could be told that your ""urine albumin-to-creatinine ratio"" (UACR) is being measured. If you have albumin or protein in your urine, it could mean you have kidney disease. -  A urine albumin result below 30 is normal.  - A urine albumin result above 30 is not normal and may mean kidney disease. A urine albumin result below 30 is normal. A urine albumin result above 30 is not normal and may mean kidney disease. Learn more about the urine albumin test. Your healthcare provider might do additional tests to be sure.",NIHSeniorHealth,Kidney Disease
5,"The most common symptom of dry AMD is slightly blurred vision. You may have difficulty recognizing faces. You may need more light for reading and other tasks. Dry AMD generally affects both eyes, but vision can be lost in one eye while the other eye seems unaffected. One of the most common early signs of dry AMD is drusen. Drusen are yellow deposits under the retina. They often are found in people over age 50. Your eye care professional can detect drusen during a comprehensive dilated eye exam.",NIHSeniorHealth,Age-related Macular Degeneration
6,"Depending on the cause of your smell disorder, your doctor may be able to treat your problem or suggest ways to cope with it. If a certain medication is the cause of the disorder, ask your doctor if you could substitute other medications or reduce the dose. Your doctor will work with you to get the medicine you need while trying to reduce unwanted side effects. Some patients with respiratory infections or allergies regain their sense of smell when the illness or condition is over. Often, correcting a general medical problem also can restore the sense of smell. For patients with nasal obstructions, such as polyps, or other inflammatory conditions of the nose or sinuses, medical treatments or surgery can restore the sense of smell. Occasionally, the sense of smell returns to normal on its own, without any treatment. Your doctor may suggest oral steroid medications such as prednisone, which is usually used for a short period of time, or topical steroid sprays, which can be used for longer periods of time. Antibiotics are also used to treat nasal infections. The effectiveness of both steroids and antibiotics depends greatly on the severity and duration of the nasal swelling or infection. Often relief is temporary.",NIHSeniorHealth,Problems with Smell
7,"The body is made up of many types of cells. Normally, cells grow, divide, and produce more cells as needed to keep the body healthy. Sometimes, however, the process goes wrong. Cells become abnormal and form more cells in an uncontrolled way. These extra cells form a mass of tissue, called a growth or tumor. Tumors can be benign, which means not cancerous, or malignant, which means cancerous.",NIHSeniorHealth,Breast Cancer
8,"For surgery, the main side effects are short-term pain and tenderness around the area of the operation. For chemotherapy, the side effects depend on which drugs you take and what the dosages are. Most often the side effects include nausea, vomiting, and hair loss. For radiation therapy, fatigue, loss of appetite, nausea, and diarrhea may occur. There are many new drugs that have greatly reduced the degree of nausea that used to be experienced because of some of these treatments.",NIHSeniorHealth,Colorectal Cancer
9,"Dopamine is a brain chemical messenger, or neurotransmitter. It is responsible for transmitting signals between a brain region called the substantia nigra and multiple brain regions. The connection between the substantia nigra and the corpus striatum is critical to produce smooth, purposeful movement. Loss of dopamine results in abnormal nerve-firing patterns within the brain that cause impaired movement.",NIHSeniorHealth,Parkinson's Disease
