status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
4,76,3,9,325,4,3,2,3,2,4,53,3,3,1,2,1,1,1,0
4,65,2,6,4825,2,4,3,2,4,3,82,2,3,4,1,1,2,0,0
2,87,1,0,3300,1,4,2,1,4,1,52,2,2,4,4,1,1,0,0
2,67,2,1,9575,2,3,3,3,1,4,44,1,2,2,2,2,2,1,0
1,96,4,3,5525,1,1,3,3,4,3,23,2,3,4,2,1,1,0,0
4,99,1,3,4750,4,2,3,1,2,3,76,1,3,3,4,2,1,1,0
3,25,2,3,9475,2,4,2,1,2,1,52,3,3,1,3,1,2,1,0
1,58,1,8,3850,2,2,4,1,4,2,30,2,3,3,2,1,1,1,0
1,32,4,1,9250,1,2,1,3,3,4,34,1,2,1,1,1,1,1,0
2,72,3,1,6125,3,2,3,2,2,3,80,3,3,4,2,1,1,1,0
4,98,3,3,5925,4,3,4,3,3,2,31,1,1,1,3,2,2,1,0
4,42,2,9,5075,2,3,2,3,1,3,58,2,1,1,4,2,2,0,0
3,36,0,2,4700,5,1,4,3,2,2,45,1,1,4,1,1,2,1,0
2,56,4,7,3300,3,4,1,2,3,2,41,2,3,2,4,2,2,1,0
2,93,1,1,5475,5,3,1,2,1,3,30,2,3,4,2,1,2,1,0
2,25,2,1,6850,2,1,3,1,1,3,74,3,3,3,2,1,2,0,0
3,55,1,8,3975,1,1,3,2,1,1,37,1,3,3,3,2,2,1,0
2,95,0,4,7000,3,4,4,3,4,1,39,1,2,2,1,2,1,1,0
4,53,4,10,9775,5,4,4,2,4,1,74,1,3,4,2,2,1,0,0
4,38,0,0,3975,2,2,3,2,2,4,67,3,1,4,4,2,1,0,0
2,24,0,7,5100,4,2,1,2,4,4,34,2,3,3,2,1,1,0,0
4,83,4,2,3825,3,4,3,2,1,1,22,3,2,4,4,2,2,0,0
4,98,2,6,3175,4,3,3,1,4,3,26,3,3,1,1,2,2,1,0
1,89,4,8,7850,5,3,4,2,4,3,43,3,3,4,4,2,1,0,0
4,54,0,6,8975,3,1,4,1,1,2,31,3,2,3,4,1,1,1,0
4,18,0,2,6975,1,4,1,2,4,1,24,3,1,3,1,1,1,0,0
