Delivery_ID,Delivery_Start_Date,Delivery_Start_Time,Traffic_Conditions,Number_of_Packages,Customer_Preference_for_Delivery_Time,Distance_(miles),fog,rain,snow,hail,Historical_Delivery_Time_(hours)
1.0,2020-09-03,12:41:00,Low,7.0,Evening,167.88475070470474,None,None,Low,None,9.294687984102525
2.0,2022-12-22,20:14:00,Low,10.0,Morning,154.15447438419642,Low,None,Mid,None,9.303765254913264
3.0,2021-06-05,11:20:00,High,2.0,Afternoon,196.08483537492998,None,Mid,None,None,8.734667662576872
4.0,2023-05-02,05:50:00,High,15.0,Morning,94.01033866393455,None,None,None,None,7.806979076178066
5.0,2020-07-07,02:34:00,Moderate,17.0,Evening,202.2542709007805,Mid,None,None,None,12.770403261414048
6.0,2021-01-08,06:46:00,High,7.0,Evening,142.46420200156228,None,Low,None,None,6.7310945292154996
7.0,2021-11-02,05:25:00,Low,17.0,Afternoon,193.84445198417578,None,Mid,None,None,9.108040969673892
8.0,2022-03-01,16:44:00,High,6.0,Evening,145.0568790970884,None,None,None,None,5.977140221061397
9.0,2023-02-15,18:46:00,High,18.0,Evening,155.08130925797525,None,Mid,None,None,7.241487203836628
10.0,2021-09-16,22:31:00,Low,1.0,Evening,137.50894132628156,None,Low,None,None,3.7180395662997276
11.0,2023-04-15,06:20:00,Moderate,7.0,Evening,55.698641759769345,None,High,None,None,3.683547531579324
12.0,2022-07-12,00:48:00,Moderate,18.0,Evening,94.41260026939526,None,None,None,None,7.087877047730708
13.0,2020-07-11,03:11:00,Moderate,1.0,Afternoon,84.14983937927153,Mid,None,Mid,None,7.654405877062845
14.0,2020-06-13,10:09:00,Moderate,14.0,Afternoon,126.95371054802955,None,Low,Mid,None,8.776646690182792
15.0,2020-02-25,09:15:00,Moderate,12.0,Evening,129.3280645422166,High,None,Low,Low,10.359818675306931
16.0,2020-01-10,16:57:00,High,15.0,Morning,155.50446160350106,Mid,None,None,Low,11.086837526878305
17.0,2022-09-24,11:59:00,High,6.0,Afternoon,172.44090590166138,None,Low,None,None,11.406735221638728
18.0,2020-10-16,19:27:00,High,9.0,Afternoon,86.49388151742781,None,None,None,None,6.724087723678257
19.0,2023-03-25,09:03:00,Moderate,4.0,Afternoon,149.261482606546,None,None,None,None,4.621490993747861
20.0,2021-09-25,16:29:00,Moderate,5.0,Morning,164.09774601933827,None,None,None,None,8.113520600907053
21.0,2020-10-23,17:50:00,Low,12.0,Morning,52.816400884933614,None,None,None,None,3.3613328552441746
22.0,2022-11-09,22:46:00,High,1.0,Morning,72.83925753075404,Mid,Low,None,None,6.450980085034321
23.0,2023-04-17,10:15:00,Low,7.0,Afternoon,134.10578342021049,Mid,Low,Mid,None,7.665117419391868
24.0,2023-07-20,18:59:00,Low,10.0,Afternoon,184.09699283113474,Mid,None,None,High,11.381048612172098
25.0,2020-11-19,21:34:00,Low,10.0,Afternoon,134.1806328002466,None,None,Mid,None,7.430857535956393
26.0,2023-04-13,07:18:00,Low,17.0,Morning,215.85871656114975,None,None,None,None,8.548711784680883
27.0,2020-02-06,03:50:00,Moderate,14.0,Morning,112.06018088781339,None,Low,None,None,8.565356273232984
28.0,2020-11-20,00:28:00,Moderate,18.0,Morning,25.185963781930326,None,Mid,None,None,4.969607846663164
29.0,2020-07-04,02:00:00,Moderate,4.0,Afternoon,107.74060470799515,None,None,Mid,None,5.404714681590991
30.0,2021-08-12,22:15:00,Low,16.0,Afternoon,126.24139820721655,Low,Low,None,Low,6.184706760808295
31.0,2020-08-03,08:18:00,High,3.0,Morning,97.25030572594615,None,Mid,None,None,5.398115250053614
32.0,2021-11-07,01:00:00,Low,17.0,Evening,106.47066419105053,None,None,None,None,9.011881722612618
33.0,2020-09-28,12:00:00,Moderate,6.0,Afternoon,112.38054397311947,None,None,Low,None,4.728210095978489
34.0,2021-06-06,21:42:00,High,5.0,Evening,123.77495988938614,None,None,None,None,6.669367515748196
35.0,2020-01-23,08:13:00,High,2.0,Morning,95.05349367216432,None,None,None,None,5.644701842650489
36.0,2022-07-25,00:14:00,High,9.0,Evening,83.19581116293662,High,None,None,High,9.180206944058932
37.0,2020-06-11,17:20:00,Moderate,5.0,Evening,93.50613631622139,None,Low,Mid,None,6.887113445131239
38.0,2023-01-23,02:39:00,Moderate,5.0,Afternoon,109.03177318286785,Low,None,None,None,6.2919961226127725
39.0,2023-08-15,18:38:00,Low,15.0,Evening,189.2811486820794,Mid,None,Low,None,8.059570479581982
40.0,2022-04-13,02:35:00,High,6.0,Evening,155.95579192835575,None,None,None,None,7.457480153297525
41.0,2022-04-02,13:36:00,Low,15.0,Evening,115.05970928350813,None,None,None,High,8.752740875701791
42.0,2021-12-24,12:28:00,Moderate,20.0,Morning,142.18705777155478,None,None,None,None,12.634360966762156
43.0,2021-07-25,09:59:00,Low,9.0,Afternoon,136.4943309871143,Low,None,None,None,7.502304792378669
44.0,2020-05-08,02:52:00,High,16.0,Evening,187.29797448100453,None,None,None,Mid,7.115547701511055
45.0,2023-11-11,04:26:00,Low,17.0,Morning,64.21683570595121,None,Mid,None,None,6.952501118988039
46.0,2021-05-08,14:40:00,Low,11.0,Evening,127.02854269632573,None,None,None,None,5.156633504367527
47.0,2021-09-03,04:44:00,High,7.0,Evening,145.94903720679162,None,None,Low,None,7.7357300992785545
48.0,2020-07-15,16:58:00,High,19.0,Evening,110.32635058908625,None,None,None,None,5.642989957067477
49.0,2021-02-17,19:52:00,Moderate,20.0,Afternoon,234.41117259271448,None,None,None,None,14.173447735231203
50.0,2021-01-10,23:11:00,Low,9.0,Afternoon,139.28765759800518,None,Mid,High,None,8.298205379991401
51.0,2022-06-22,15:22:00,High,1.0,Evening,70.32927443371389,None,None,None,None,4.841013001125545
52.0,2022-02-25,20:56:00,High,12.0,Afternoon,114.58901951150224,None,None,High,None,6.4375848620913425
53.0,2022-08-09,11:35:00,Low,17.0,Morning,151.92603692056156,None,None,None,None,6.044986457194274
54.0,2021-11-07,05:10:00,Moderate,16.0,Evening,144.4074440146544,None,None,None,High,13.136633492406414
55.0,2021-02-07,14:54:00,Moderate,6.0,Evening,123.51175175534108,None,Mid,Low,None,8.186355773565687
56.0,2020-03-19,09:06:00,Moderate,18.0,Morning,107.68950607390956,Low,None,None,None,5.482063815920755
57.0,2023-07-06,04:36:00,Low,11.0,Morning,108.94306979556933,None,Mid,None,None,6.398408121515982
58.0,2020-03-20,13:33:00,Low,9.0,Evening,179.49057639796777,None,Low,None,None,5.481693179987318
59.0,2022-09-23,07:01:00,Moderate,1.0,Afternoon,137.52142003109574,None,None,None,None,6.143101693276616
60.0,2021-09-04,15:47:00,Moderate,13.0,Morning,129.19642389753085,Low,None,None,None,8.521140332773536
61.0,2022-05-04,06:38:00,Moderate,7.0,Afternoon,110.71046280260852,None,Low,Low,None,6.269146748860992
62.0,2021-07-19,01:35:00,High,11.0,Afternoon,197.93908512695634,Low,Low,None,Low,9.124317022998094
63.0,2023-05-16,14:22:00,Moderate,14.0,Evening,160.45844624997105,Mid,High,Mid,None,11.656154645773709
64.0,2020-04-21,03:55:00,High,19.0,Morning,99.53791692119472,None,None,None,Mid,8.0926440000476
65.0,2023-08-28,23:42:00,Low,3.0,Morning,140.97237115590028,None,None,Low,High,8.093402115439778
66.0,2021-09-06,17:21:00,Moderate,14.0,Afternoon,176.46745539359188,None,None,Low,None,8.354462030781512
67.0,2020-04-17,18:32:00,Moderate,5.0,Afternoon,129.12355722568375,None,None,None,None,5.137445549579725
68.0,2021-04-09,09:44:00,High,18.0,Morning,95.34254328939718,Low,None,None,None,9.65949916980741
69.0,2020-06-13,22:24:00,Moderate,4.0,Evening,80.39425467097189,Mid,None,None,None,4.969867036662568
